"year","prey","n_sims","median","mean","sd","q05","q25","q75","q95"
1936,"orca",2111,1.63685468803696e-19,2.21960288541155e-19,3.14202989382972e-19,4.25880083933877e-21,6.05637705162885e-20,3.04246688070232e-19,5.873157903389e-19
1936,"other krill",2111,0.000585616764123572,0.00235511956762258,0.00454387254812465,4.71287257833512e-06,0.000110810450225043,0.00244031382950265,0.0108352314682536
1936,"other macrozooplankton",2111,0.00132176553001247,0.00219591948261002,0.00296472832574171,1.08949613658468e-05,0.000265932577093216,0.00292205005440512,0.00778439743416355
1936,"salps",2111,0.0492525078499576,0.0606350629166201,0.0428852713009728,0.00915605155104123,0.0260238244293552,0.0891099950670946,0.144865427200164
1936,"shelf and coastal fishes",2111,0.0112073719344403,0.0104389031708824,0.00691228508306269,0.000124538284290498,0.0046788801553928,0.0159280022095406,0.0207889988288413
1936,"small divers",2111,0,0,0,0,0,0,0
1936,"sperm whales",2111,0,0,0,0,0,0,0
1936,"squids",2111,6.83913642098072e-06,6.23841820635286e-06,4.00128197634621e-06,5.48739506585831e-08,2.85908429311738e-06,9.312398868472e-06,1.1966267702173e-05
1936,"toothfishes",2111,3.85963558528775e-05,3.42852004787135e-05,2.13106909189494e-05,5.61803657312553e-07,1.56261014483205e-05,5.18044636949196e-05,6.30631391967164e-05
1941,"External",2111,0,0,0,0,0,0,0
1941,"Resource",2111,0.713936543924099,0.721430990357853,0.100123351896546,0.579152680712479,0.649821932635518,0.784833150428738,0.893150259741685
1941,"antarctic krill",2111,0.0593548540800586,0.096431305886402,0.105201316807461,0.00223780584711487,0.0186083650146556,0.136786870280069,0.307150859198898
1941,"baleen whales",2111,0,0,0,0,0,0,0
1941,"bathypelagic fishes",2111,0.0571260960428745,0.0596633419983053,0.0449692204764112,0.00140863395700163,0.0166211235814707,0.0910199957279295,0.137795143426613
1941,"flying birds",2111,0,0,0,0,0,0,0
1941,"large divers",2111,0,0,0,0,0,0,0
1941,"leopard seals",2111,4.06950541413476e-20,5.81173822997109e-20,5.96462772050599e-20,5.06224809886227e-22,1.13303098195955e-20,8.6133978832149e-20,1.78522139667423e-19
1941,"medium divers",2111,0,0,0,0,0,0,0
1941,"mesopelagic fishes",2111,0.0414969949666821,0.0462857827888537,0.0375203573503313,0.00189473239275819,0.00845014644715487,0.0721436854811331,0.115280210284096
1941,"mesozooplankton",2111,1.95594794358274e-16,2.58304159918336e-16,2.37735053697494e-16,2.2158087373259e-17,7.11436729755212e-17,3.69991848441522e-16,7.29959459158756e-16
1941,"minke whales",2111,0,0,0,0,0,0,0
1941,"orca",2111,1.71973987769543e-19,2.34612320547177e-19,3.51356160478318e-19,5.53645337986392e-21,7.05765073229177e-20,3.14505263654214e-19,6.31865026022904e-19
1941,"other krill",2111,0.000732491379869021,0.00280905325385001,0.00533478254643992,5.23818381116802e-06,0.000123916528705614,0.00293632766343092,0.0129571164554005
1941,"other macrozooplankton",2111,0.0014747079872319,0.00258746805892576,0.00354534588067058,1.11344254970654e-05,0.000297476820266437,0.00336414855609153,0.0097555577080673
1941,"salps",2111,0.0479827920955394,0.0607415574888262,0.0445777373297675,0.00891071559243907,0.0248705657996048,0.0887671858839809,0.149497016149377
1941,"shelf and coastal fishes",2111,0.0102947200955737,0.0100105099568208,0.00725275353761683,0.000110364361833637,0.00306290543912024,0.0155918561366057,0.0212864021464979
1941,"small divers",2111,0,0,0,0,0,0,0
1941,"sperm whales",2111,0,0,0,0,0,0,0
1941,"squids",2111,6.74731922872527e-06,6.22923924822056e-06,4.32690358138643e-06,4.74153067140108e-08,1.8678044220491e-06,9.63338500820097e-06,1.2639899189589e-05
1941,"toothfishes",2111,3.80222400947523e-05,3.37609709152428e-05,2.277874440322e-05,5.38826407945409e-07,1.0759307428003e-05,5.32271591623301e-05,6.52563297802564e-05
1946,"External",2111,0,0,0,0,0,0,0
1946,"Resource",2111,0.722961344979863,0.730011920563782,0.0980730032811619,0.594453611453047,0.662694964819942,0.790136397710933,0.894833751670334
1946,"antarctic krill",2111,0.0570996005991438,0.0923974227593612,0.103032759459291,0.00200501719705579,0.0180536662310761,0.129892187976957,0.290415398959207
1946,"baleen whales",2111,0,0,0,0,0,0,0
1946,"bathypelagic fishes",2111,0.0566109794458839,0.0584495736174722,0.0438184161073571,0.0013454814288549,0.016538946303253,0.0890351891781883,0.135193962470729
1946,"flying birds",2111,0,0,0,0,0,0,0
1946,"large divers",2111,0,0,0,0,0,0,0
1946,"leopard seals",2111,4.12421336791059e-20,5.68048657901506e-20,5.61083820323952e-20,3.88525605653942e-22,1.16738115149534e-20,8.33496778136986e-20,1.72194234433883e-19
1946,"medium divers",2111,0,0,0,0,0,0,0
1946,"mesopelagic fishes",2111,0.0413758998242915,0.0453701243943149,0.0366746424019842,0.00178762287989064,0.00864000838376755,0.070652045940938,0.110919840730736
