"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"medium divers","salps",4449295785.77695,2717451760.05375,7291245241.55156,1073261045.61977,13571013928.7791,5514873623.99174,4449.29578577695,2717.45176005375,7291.24524155156,"Exploited"
"large divers","salps",236040744.553411,128739094.003084,475617651.650977,51328218.5965084,1823656640.94263,588751677.808729,236.040744553411,128.739094003084,475.617651650977,"Exploited"
"minke whales","salps",326756140.289233,184474754.641018,712046804.765404,86799595.505356,27435576697.4263,13431797104.0471,326.756140289233,184.474754641018,712.046804765404,"Exploited"
"orca","salps",16325.8905897548,10187.9399627217,26522.008789625,5153.36930501788,48168.2576988162,20396.6246476015,0.0163258905897548,0.0101879399627217,0.026522008789625,"Exploited"
"sperm whales","salps",7407737.86660571,3221129.52588769,36962518.1415085,1359207.74568856,596789353.790142,247617980.622495,7.40773786660571,3.22112952588769,36.9625181415085,"Exploited"
"baleen whales","salps",170536902583.701,42307595677.0468,421504778961.712,3150829110.22487,1415407406952.44,359667193934.205,170536.902583701,42307.5956770468,421504.778961712,"Exploited"
"mesozooplankton","mesopelagic fishes",1361.51064773998,438.572945802021,7371.63739069761,115.103231366571,26953.4695346312,6410.10491876244,0.00136151064773998,0.000438572945802021,0.00737163739069761,"Exploited"
"other krill","mesopelagic fishes",0.134614347471403,0.0273028990392709,0.612938810411958,0.00569705783419412,2.18816175609679,0.578203734626872,1.34614347471403e-07,2.73028990392709e-08,6.12938810411958e-07,"Exploited"
"other macrozooplankton","mesopelagic fishes",58812276.3492401,32028297.1319111,89916878.6659629,13240301.2746324,173762218.107405,78954981.4823268,58.8122763492401,32.0282971319111,89.9168786659629,"Exploited"
"antarctic krill","mesopelagic fishes",83.848489420792,25.4391784472166,255.994350521957,2.20909082562322,672.528400805401,235.444798068252,8.3848489420792e-05,2.54391784472166e-05,0.000255994350521957,"Exploited"
"salps","mesopelagic fishes",0.0136555233594217,0.00641035436455161,0.0326928803087813,0.00180821467702879,0.0731940429582864,0.0257047906293635,1.36555233594217e-08,6.41035436455161e-09,3.26928803087813e-08,"Exploited"
"mesopelagic fishes","mesopelagic fishes",54998400496.8333,32667914820.9812,122507892363.364,3392661868.87801,170867297689.149,77996423480.9281,54998.4004968333,32667.9148209812,122507.892363364,"Exploited"
"bathypelagic fishes","mesopelagic fishes",98262411085.0494,63045467876.7086,151808768854.632,34132197319.3574,196002644057.91,108457441961.881,98262.4110850494,63045.4678767086,151808.768854632,"Exploited"
"shelf and coastal fishes","mesopelagic fishes",105133894015.968,79111231942.873,139468544260.708,29802900997.9449,170989743107.632,108248023535.155,105133.894015968,79111.231942873,139468.544260708,"Exploited"
"flying birds","mesopelagic fishes",2679665543.2061,1839712683.85477,3798615503.14409,343495784.617389,5067036168.34811,2802901222.00846,2679.6655432061,1839.71268385477,3798.61550314409,"Exploited"
"small divers","mesopelagic fishes",576372825.66342,363686360.092269,1036800306.94126,37421532.7892821,1907387127.70197,758379273.446078,576.37282566342,363.686360092269,1036.80030694126,"Exploited"
"squids","mesopelagic fishes",351922711791.829,248662656458.137,510978206905.483,91440541384.6931,723555659068.264,389683271505.132,351922.711791829,248662.656458137,510978.206905483,"Exploited"
"toothfishes","mesopelagic fishes",524709881029.533,314820316441.251,843752047186.357,17760582003.1297,1343179626055.46,600486817134.312,524709.881029533,314820.316441251,843752.047186357,"Exploited"
"leopard seals","mesopelagic fishes",32330404.2698092,21512675.9379705,49830008.7414204,3897752.1229979,76341121.6831911,36590690.7547355,32.3304042698092,21.5126759379705,49.8300087414204,"Exploited"
"medium divers","mesopelagic fishes",103218001351.297,60861511337.0327,173040051366.753,11381921713.9654,307219538411.926,126396110807.295,103218.001351297,60861.5113370327,173040.051366753,"Exploited"
"large divers","mesopelagic fishes",3427040456.76883,1793352951.12422,6731403673.66718,413508133.730139,25853376811.8996,8899146249.32382,3427.04045676883,1793.35295112421,6731.40367366718,"Exploited"
"minke whales","mesopelagic fishes",23987173.4195223,13173211.9891958,53431148.3467648,4815557.73512052,2284809432.86989,1881682242.10569,23.9871734195223,13.1732119891958,53.4311483467648,"Exploited"
"orca","mesopelagic fishes",351153.652956573,202805.783748235,598084.938235793,55274.516349194,1153941.60893871,451520.637154415,0.351153652956573,0.202805783748235,0.598084938235793,"Exploited"
"sperm whales","mesopelagic fishes",196355887.49915,79033626.7268231,1186763652.92296,28198901.0998932,16768698715.8235,6780372496.59704,196.35588749915,79.0336267268231,1186.76365292296,"Exploited"
"baleen whales","mesopelagic fishes",136756544477.931,28016230041.9333,355839423911.363,2592468978.23355,2476662745340.59,475639993215.206,136756.544477931,28016.2300419333,355839.423911363,"Exploited"
"mesozooplankton","bathypelagic fishes",2674.60441062952,1076.90877776205,12486.2822104256,295.719252864239,45001.7704300602,11992.6902147288,0.00267460441062952,0.00107690877776205,0.0124862822104256,"Exploited"
"other krill","bathypelagic fishes",0.263295758063047,0.0651856627012101,1.2246049794245,0.0172349641210153,4.04371612094105,0.972147927720623,2.63295758063047e-07,6.51856627012101e-08,1.2246049794245e-06,"Exploited"
"other macrozooplankton","bathypelagic fishes",68444288.667479,46628977.4070338,102111658.998072,18118141.8751392,173045495.915287,82845310.2543661,68.444288667479,46.6289774070338,102.111658998072,"Exploited"
"antarctic krill","bathypelagic fishes",149.001073362001,42.7934079748549,442.747994967811,3.88239154498902,954.702832428343,318.440673593789,0.000149001073362001,4.27934079748549e-05,0.000442747994967811,"Exploited"
"salps","bathypelagic fishes",0.0282428256088445,0.0143033638543209,0.0653868499104756,0.0035641386257819,0.140071165449424,0.0472431376018554,2.82428256088445e-08,1.43033638543209e-08,6.53868499104756e-08,"Exploited"
"mesopelagic fishes","bathypelagic fishes",42137181920.701,28784867974.321,67944263802.2395,5407789834.56807,82276165415.2979,47435899341.9969,42137.181920701,28784.867974321,67944.2638022395,"Exploited"
"bathypelagic fishes","bathypelagic fishes",76914586121.4867,43942487499.7072,136761882630.242,15239212789.0668,213800257695.252,95925206637.377,76914.5861214867,43942.4874997072,136761.882630242,"Exploited"
