"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"minke whales","antarctic krill",8662490293.48263,3959573190.2862,23570846800.384,994410982.055861,5168061775541.32,1314775772279.21,8662.49029348263,3959.5731902862,23570.846800384,"Unexploited"
"orca","antarctic krill",4447.3463744591,1781.84045030322,9338.87396438086,418.331309552365,19074.2737511223,6606.72844466188,0.0044473463744591,0.00178184045030322,0.00933887396438086,"Unexploited"
"sperm whales","antarctic krill",246224784.194779,80202546.2169012,773232331.531634,17114453.0591532,17510765708.7673,3523012199.68137,246.224784194779,80.2025462169012,773.232331531634,"Unexploited"
"baleen whales","antarctic krill",234787995.704535,132976816.061492,333272300.503226,33663385.8148557,393401272.190334,228970617.257092,234.787995704535,132.976816061492,333.272300503226,"Unexploited"
"mesozooplankton","salps",258926.021731837,128455.434758485,855910.99828163,51203.7078592599,2072170.24817978,608235.664407766,0.258926021731837,0.128455434758485,0.85591099828163,"Unexploited"
"other krill","salps",113.807483409394,29.5818734556225,527.666816159741,5.98687401201565,1931.2817390872,432.619960683402,0.000113807483409394,2.95818734556225e-05,0.000527666816159741,"Unexploited"
"other macrozooplankton","salps",356071274.103399,246564533.454594,529329570.292589,119337773.130641,759553854.637404,392223967.009063,356.071274103399,246.564533454594,529.329570292589,"Unexploited"
"antarctic krill","salps",14919.3623957646,5068.29628575523,38250.9720215421,978.19497091872,90951.5835869125,31055.1407657312,0.0149193623957645,0.00506829628575523,0.0382509720215421,"Unexploited"
"salps","salps",13.0793113618256,9.11747355904657,22.2757563269307,4.04825097417739,30.4409827921156,15.6340725129524,1.30793113618256e-05,9.11747355904656e-06,2.22757563269307e-05,"Unexploited"
"mesopelagic fishes","salps",29105686612.038,17004535238.4003,58434903327.8116,3826309262.7256,102496826055.046,40113844853.8159,29105.686612038,17004.5352384003,58434.9033278116,"Unexploited"
"bathypelagic fishes","salps",35978975172.5734,22208350543.8711,61341585024.4765,10940621725.8894,115413588975.023,45867708993.1171,35978.9751725734,22208.3505438711,61341.5850244765,"Unexploited"
"shelf and coastal fishes","salps",268334074362.633,195664774304.045,397538304028.833,104687959991.145,528261054124.817,293639134495.339,268334.074362633,195664.774304045,397538.304028833,"Unexploited"
"flying birds","salps",4707307246.81973,3580588199.30313,7157145567.74901,1189103550.42328,10080081529.7369,5304116388.23412,4707.30724681973,3580.58819930313,7157.14556774901,"Unexploited"
