"year","scenario","n","slope_median","slope_q25","slope_q75","slope_q05","slope_q95","intercept_median","intercept_q25","intercept_q75","intercept_q05","intercept_q95","r_squared_median"
1937,"Fished",2111,-2.08060776047156,-2.08963437260509,-2.07261019811377,-2.09992680260729,-2.06279167936275,11.4700237022881,11.4407371948185,11.4904407226867,11.38475364603,11.5184977698145,0.986921080161686
1938,"Climate-Only",2111,-2.07804593437531,-2.08744293063294,-2.07039887055408,-2.09789581738189,-2.05933848419583,11.4673424016651,11.43707611192,11.4885217139136,11.3802180877906,11.5168232582865,0.986882300192196
1938,"Fished",2111,-2.08052084775985,-2.08936839142564,-2.07210190924696,-2.09945158748121,-2.06233244195529,11.465729528557,11.4366510598701,11.4862412230222,11.3808695246956,11.5148238932862,0.986923644637268
1939,"Climate-Only",2111,-2.07728157229447,-2.08688444745529,-2.06924435625012,-2.09758785756611,-2.05752732618284,11.4621625252283,11.4306183451375,11.4837272432015,11.3706899133062,11.5119136871315,0.986889965425276
1939,"Fished",2111,-2.07994210606453,-2.08888813493368,-2.07124600011979,-2.09925934118347,-2.06048150417018,11.4605580688943,11.4303721063693,11.4817548086865,11.3731915422286,11.5111247274016,0.986931520824476
1940,"Climate-Only",2111,-2.08088966324828,-2.08991930434931,-2.07326934594069,-2.10055292385875,-2.06274766114914,11.4827902830789,11.4539561127917,11.5029113164209,11.3966088203703,11.5307934358477,0.98686198980089
1940,"Fished",2111,-2.08403089889292,-2.09288824346851,-2.07563936546618,-2.10286470278139,-2.06608244826825,11.4801214378314,11.4520539039068,11.4998181679666,11.3980522870785,11.5273992126336,0.986903628782211
1941,"Climate-Only",2111,-2.07704978625947,-2.08667764482697,-2.06909190216426,-2.09726397677545,-2.05728899792204,11.4619493351406,11.4303192197548,11.483984686762,11.3728275211101,11.5114764838552,0.986791627367814
1941,"Fished",2111,-2.08079369256194,-2.08986714739976,-2.072101578586,-2.10003339266583,-2.06179514131322,11.4578909253655,11.4273868674386,11.4800800912152,11.3748046621264,11.5085214845517,0.98681755310388
1942,"Climate-Only",2111,-2.08133815352234,-2.09001730699323,-2.07368468062152,-2.10044188109581,-2.0637090496883,11.4858313228406,11.4578949698324,11.5068813597977,11.3987939915481,11.5342486290832,0.986828354675546
1942,"Fished",2111,-2.08466248636789,-2.09332541423545,-2.07652267205605,-2.10306818059193,-2.06693795391992,11.4836304718814,11.4569854112477,11.5038257217341,11.4010797447406,11.5318980544403,0.986869368432844
1943,"Climate-Only",2111,-2.08054515774185,-2.08915677333111,-2.07304470374149,-2.09965865601959,-2.06327219103503,11.4825713500671,11.453863577724,11.5036531077451,11.3993433206614,11.5317108997698,0.986760174137423
1943,"Fished",2111,-2.08372205503385,-2.09222345037318,-2.0755405169378,-2.10210003795888,-2.06636888537307,11.4806127906235,11.4527128484028,11.5009923340245,11.4014985746065,11.5294946194107,0.986822881572159
1944,"Climate-Only",2111,-2.07960098994925,-2.08836900557497,-2.07204513814687,-2.09870428138622,-2.06187067579543,11.4772931772038,11.4482083410375,11.4986393975149,11.3920699916438,11.5265336440836,0.986799277612079
1944,"Fished",2111,-2.08265716701606,-2.09138366697961,-2.07434017320704,-2.10085042657315,-2.06518629165012,11.4755393514075,11.4473576665078,11.4966670232338,11.3942361821897,11.5244450559099,0.986867472958076
1945,"Climate-Only",2111,-2.07733979546379,-2.08659662560601,-2.06956928542211,-2.09708665581922,-2.05859676064534,11.4642324005213,11.4332693301058,11.4860569199959,11.3749643237453,11.5142280063488,0.986843809272244
1945,"Fished",2111,-2.08049623611885,-2.08933230362847,-2.07182271492135,-2.09913323382164,-2.06239583245688,11.4616179796063,11.4323553801019,11.4844369976514,11.3767890123258,11.5127972523657,0.986906935583723
1946,"Climate-Only",2111,-2.07934560475802,-2.08827528286817,-2.07176488909943,-2.09868242480152,-2.06084210964697,11.4744736566718,11.4450933855848,11.4952355317016,11.3877113939823,11.5233017928527,0.986875527577743
1946,"Fished",2111,-2.08230480248007,-2.09112689320659,-2.07380873257075,-2.10066467909974,-2.06425870010336,11.4723356247984,11.4439396129259,11.4933905285176,11.389262536913,11.5221761070434,0.986944145720026
1947,"Climate-Only",2111,-2.07630036483315,-2.08597462454663,-2.06758880195144,-2.09695438570779,-2.05592898827422,11.4585317288254,11.4249455528932,11.4805136813791,11.3630755474673,11.509292562468,0.9868308737607
1947,"Fished",2111,-2.07946768722243,-2.08849530717819,-2.07035900972231,-2.09882328212331,-2.05945006485487,11.4550185089743,11.4232878290759,11.4786535123611,11.3627285870386,11.5081751847934,0.986919263719322
