"year","median","mean","q25","q75","relative","relative_q25","relative_q75"
1999,33065325672915.2,42215726627643.5,19709486233654.8,50368459223222.4,0.999524122600437,0.595793524898987,1.52257656585146
2000,32504005860567.4,41976147070099.9,19289913404165.6,49939443255765.6,0.982556115132881,0.58311035436528,1.50960794087266
2001,31775529824450.1,41489113779580.1,18339181666587.1,49889286672616.5,0.960535180633752,0.554370903399887,1.50809176905991
2002,32559408294326.5,42647062112457.5,18760239647505.8,51113745934070.2,0.984230862556836,0.567098968234476,1.54510566636947
2003,31884731638343.5,42029636449832.2,17933051322293.4,50908593483620.8,0.963836217142447,0.542094082658511,1.53890416014318
2004,32586563776970.4,42732979759631.4,18623928564358,51440936171883.7,0.985051739394159,0.562978451862376,1.55499622479339
2005,33829901502807.6,43991825267613.9,19786182897391.4,52978365394925.8,1.0226363094603,0.598111970701884,1.60147081906845
2006,33014882521991.4,42912121490201.9,19199761711916.9,51596110432338.1,0.99799928819635,0.580385179601023,1.55968695181254
2007,32863251777339,42765297044883.8,19019734516426.4,51281777752172.3,0.993415677301145,0.574943178926454,1.55018506154068
2008,32307930008322.5,42348607267690.6,18303979186396.8,50872511399371.5,0.976628983305512,0.553306775725063,1.53781344311962
2009,32823688870450.3,43128880011628.1,18720676227745.2,51891613305419.6,0.992219739290836,0.565903014720682,1.56861964017812
2010,33867681333761.4,44075235054097.4,19661689179959.3,53091159937981.5,1.0237783472784,0.594348678759245,1.60488045936043
