"w","n_unfished","n_density_unfished","biomass_unfished","biomass_density_unfished","n_mean","n_median","n_q05","n_q95","n_density_mean","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","period","n_ratio","n_ratio_median","biomass_ratio","biomass_ratio_median","n_diff","biomass_diff","log_n_ratio","log_biomass_ratio","period_label"
0.000537989486348578,208186.739359707,890649341.945594,112.002276972714,479159.981990009,613529.250798548,584419.342017372,211368.519504331,1035515.13422849,2624756145.2219,330.072286496938,314.4114616241,113.714041238395,557.096255169766,1412091.2103582,"post_krill",2.94701407344916,2.80718812261912,2.94701407344916,2.80718812261912,405342.511438841,218.070009524225,0.469382209825737,0.469382209825737,"Post Krill Fishing (2001-2010)"
0.000771736629646219,64201.9684965718,191472631.813975,49.547010784197,147766.443545609,286664.029115057,239101.563235006,70550.8478337235,562966.849049648,854931980.847113,221.22913167006,184.523434554126,54.446673525881,434.462138688127,659782.325475717,"post_krill",4.46503488643599,3.72420922339435,4.46503488643599,3.72420922339435,222462.060618485,171.682120885863,0.649824856489392,0.649824856489392,"Post Krill Fishing (2001-2010)"
0.00110704287100476,18216.5699384118,37872994.3075963,20.1665238844784,41927.0283518284,126834.715777693,88033.7532108691,21720.9185993221,300952.104365779,263694564.064182,140.41146789761,97.457138899885,24.0459880870543,333.166881652015,291921.18726996,"post_krill",6.9626014231278,4.83261961546556,6.9626014231278,4.83261961546556,108618.145839281,120.244944013132,0.842771534527771,0.842771534527771,"Post Krill Fishing (2001-2010)"
0.00158803388508885,5121.36891639967,7422560.95597071,8.13290737728345,11787.278312219,51943.5783856048,28441.3107029264,6580.09105521353,149263.326238187,75283460.9519674,82.4881625891092,45.1657651325874,10.4494075626491,237.035219867312,119552.686978488,"post_krill",10.1425183839561,5.55345868794016,10.1425183839561,5.55345868794016,46822.2094692051,74.3552552118257,1.00614580356329,1.00614580356329,"Post Krill Fishing (2001-2010)"
0.00227800719036431,1735.45466317794,1753418.80023822,3.95337820127062,3994.30063466263,18653.4028659265,7953.48917534665,2418.98847141361,64742.8684912677,18846489.0310876,42.4925858533427,18.1181055299244,5.51047313128857,147.484719947919,42932.4375259397,"post_krill",10.7484241805364,4.58294263981654,10.7484241805364,4.58294263981654,16917.9482027485,38.539207652072,1.03134479728766,1.03134479728766,"Post Krill Fishing (2001-2010)"
0.00326776198422312,817.150218751037,575544.571287157,2.67025242023424,1880.74267027816,4905.59440734361,2140.67136489775,909.193530709449,17918.2328661772,3455164.25902526,16.030314914335,6.99520450692789,2.97102805595393,58.5525201845511,11290.6544148892,"post_krill",6.0032957157394,2.6196791186933,6.0032957157394,2.6196791186933,4088.44418859257,13.3600624941007,0.778389736750956,0.778389736750956,"Post Krill Fishing (2001-2010)"
0.0046875481476536,489.845199269166,240514.127385848,2.29617295647119,1127.42155231206,683.050272944168,677.66992317064,282.008540933238,1109.58629882327,335377.87162748,3.20183104169372,3.17661039307909,1.32192861367409,5.20123919971086,1572.0999209114,"post_krill",1.39442067404816,1.38343689839505,1.39442067404816,1.38343689839505,193.205073675001,0.90565808522253,0.144393813114039,0.144393813114039,"Post Krill Fishing (2001-2010)"
0.00672420688613729,312.317124175748,106901.108001161,2.10008495704116,718.82516655711,452.955821740006,448.86651046782,194.645947640914,740.860718842695,155039.463005349,3.04576865566012,3.01827128064413,1.30883962148575,4.98170074731067,1042.51742476359,"post_krill",1.45030735325648,1.4372138948591,1.45030735325648,1.4372138948591,140.638697564258,0.945683698618963,0.161460048909708,0.161460048909708,"Post Krill Fishing (2001-2010)"
0.00964575868307804,207.208790440909,49442.3676480652,1.9986859896055,476.909147053262,315.492979999465,309.409214307923,138.657342772134,530.953639428738,75280.2034813559,3.04316915128001,2.98448661553501,1.33745526801684,5.12145067783164,726.13467639417,"post_krill",1.52258492184692,1.49322436393527,1.52258492184692,1.49322436393527,108.284189558556,1.04448316167451,0.182581524661873,0.182581524661873,"Post Krill Fishing (2001-2010)"
0.0138366742944791,142.529560045243,23708.3157801667,1.97213509968143,328.044243520826,228.086638768106,223.062804517998,103.688913960167,399.817748877183,37939.8494981292,3.15596053155681,3.0864473733286,1.4347097304151,5.53214796836543,524.961340287171,"post_krill",1.60027603183301,1.56502836637671,1.60027603183301,1.56502836637671,85.5570787228637,1.18382543187538,0.204194900632382,0.204194900632382,"Post Krill Fishing (2001-2010)"
0.0198484703818451,92.2885624872749,10701.5901519895,1.83178679911174,212.410195170409,156.759600573654,150.11191298857,70.7562552624471,289.079032048617,18177.517912473,3.11143828905603,2.97949185891574,1.40440343690695,5.73777660562943,360.795925901179,"post_krill",1.69858101967151,1.62654947636949,1.69858101967151,1.62654947636949,64.4710380863788,1.2796514899443,0.230086266871094,0.230086266871094,"Post Krill Fishing (2001-2010)"
0.0284722880740333,59.6554960420017,4822.31492408814,1.69852846850723,137.302339702348,108.623200721539,102.971099094054,46.9958485155918,209.807902827134,8780.67096404486,3.0927510624672,2.93182279670574,1.33807933721956,5.97371104950294,250.005793171585,"post_krill",1.82084146354361,1.72609576528464,1.82084146354361,1.72609576528464,48.967704679537,1.39422259395997,0.260272134424534,0.260272134424534,"Post Krill Fishing (2001-2010)"
0.0408430056611436,38.6612738553358,2178.64235053569,1.57904262694051,88.9823018565365,76.1691047616816,71.00899788157,31.1866599066464,154.825133910392,4292.28581699427,3.11097517698561,2.9002209024691,1.27375692711932,6.32352382078947,175.309853922743,"post_krill",1.97016541789839,1.83669576298169,1.97016541789839,1.83669576298169,37.5078309063458,1.5319325500451,0.294502691676565,0.294502691676565,"Post Krill Fishing (2001-2010)"
0.0585885864563713,25.0392270788733,983.6381749011,1.46701292051128,57.6299702519804,53.9091571899415,48.5709194444366,20.7478662605367,115.647978142952,2117.7612560378,3.158461316813,2.84570151313582,1.21558815619068,6.7756515659329,124.076638443324,"post_krill",2.1529880702838,1.93979308112981,2.1529880702838,1.93979308112981,28.8699301110681,1.69144839630171,0.333041623402554,0.333041623402554,"Post Krill Fishing (2001-2010)"
