"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1971-1980",1971,1980,"mean_tl","structural","absolute",2111,-0.00798725839480063,-0.0251272550211177,0.0521942921046045,-0.124363509107121,-0.0291082120749995,-0.00305900412469584,-0.00103610445070967,-0.0946479236484439,3.50483952236005,3.4707934514451,3.55335379485088,2111,0.508763619137849,0.0928469919469446,0.025106584557082,0.0753197536712459,0.0175272382756987,3.52624380179621,0.0843891560101007
"1981-1990",1981,1990,"mean_tl","structural","absolute",2111,-0.00971848192910718,-0.0290216627529401,0.0584097270291637,-0.142830590616014,-0.0323816721401291,-0.00406000192560829,0.0010727244334372,-0.115162686636467,3.50064671920217,3.46717611139588,3.5479598450403,2111,0.531501657981999,0.107531975367125,0.0279488394126007,0.0937944102321175,0.0137375651350071,3.52624380179621,0.0843891560101007
"1991-2000",1991,2000,"mean_tl","structural","absolute",2111,-0.0162169337087898,-0.0335443650465976,0.0588555393682527,-0.144705349114716,-0.0363482700128623,-0.00877076189042136,-0.00537846398917607,-0.192168454757964,3.49759936373495,3.46499215300289,3.54051034375053,2111,0.526764566556135,0.11747986736144,0.0322122216958787,0.103268593083847,0.0142112742775936,3.52624380179621,0.0843891560101007
"2001-2010",2001,2010,"mean_tl","structural","absolute",2111,-0.00458647692945702,-0.0230536700720961,0.0609624409979759,-0.129988819786949,-0.0278312295750942,7.96639203013427e-05,0.00603531268696855,-0.0543491266686925,3.50579282818603,3.47170208824297,3.55428443893301,2111,0.510658455708195,0.0961629559450497,0.0274751302700142,0.0772145902415917,0.0189483657034581,3.52624380179621,0.0843891560101007
"1841-1850",1841,1850,"htl_indicator","structural","absolute",2111,0.000102127829523929,5.68306154691709e-05,0.000475271540663873,-0.000750640897557206,-0.000196392423106505,0.000322677356791992,0.000756092895472571,0.00141569992052312,0.184290607131421,0.142481896711543,0.231672938672325,2111,0.505447655139744,0.101847465656087,0.0213169114163903,0.0511605873993368,0.0506868782567504,0.184168323519962,0.0721394612257883
"1851-1860",1851,1860,"htl_indicator","structural","absolute",2111,-0.000102127829523901,-5.68306154691691e-05,0.000475271540663874,-0.000756092895472626,-0.000322677356791951,0.000196392423106477,0.00075064089755722,-0.00141569992052274,0.183965824386049,0.143082269089886,0.231094083128011,2111,0.497394599715774,0.0990052108005685,0.019895783988631,0.049265750828991,0.0497394599715775,0.184168323519962,0.0721394612257883
"1861-1870",1861,1870,"htl_indicator","structural","absolute",2111,0.000180311387949397,0.000403201648838251,0.00123089872955471,-0.00109030138634299,-0.000398871653970935,0.00106463354654098,0.00250716087528806,0.0024994834295344,0.184133320228639,0.143333668849991,0.231591019775601,2111,0.500236854571293,0.0975840833728091,0.0203694931312174,0.0459497868308858,0.0516342965419233,0.184168323519962,0.0721394612257883
"1871-1880",1871,1880,"htl_indicator","structural","absolute",2111,0.000245076935876859,0.00074628245855244,0.00185177851599087,-0.00136984989082711,-0.000190282474387293,0.00160646525249167,0.00412571965529753,0.00339726595836079,0.184686436149935,0.144091879983223,0.23146828368201,2111,0.495499763145429,0.0956892468024633,0.0175272382756987,0.0450023685457129,0.0506868782567504,0.184168323519962,0.0721394612257883
"1881-1890",1881,1890,"htl_indicator","structural","absolute",2111,0.000618545031748574,0.00116570740225364,0.00256865939033197,-0.00173121100868494,-0.000254127059600873,0.0023680044133941,0.0056746904323034,0.00857429513941889,0.184394633400787,0.144467643824612,0.231836680522268,2111,0.499763145428707,0.0952155376598768,0.0184746565608716,0.0435812411179536,0.0516342965419233,0.184168323519962,0.0721394612257883
"1891-1900",1891,1900,"htl_indicator","structural","absolute",2111,0.000542884282943079,0.00150887010485311,0.00331428157507795,-0.00208445226383797,-0.000106473554297187,0.00290797523940284,0.007565448724025,0.00752548291487669,0.18494022475173,0.145406350035651,0.231638649070895,2111,0.494552344860256,0.0918995736617717,0.01468498342018,0.0412126954050213,0.0506868782567504,0.184168323519962,0.0721394612257883
