"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1901-1910",1901,1910,"spectrum_lcd_exponent","structural","climate",2111,-0.00108978050742525,-0.00141000352897339,0.00125958861455779,-0.00351443932485529,-0.00207133797215886,-0.000698080047092375,0.000198048003034579,-0.0388404156204138,-2.07628141117392,-2.0949800572667,-2.05543255812338,2111,0.500236854571293,0.0918995736617717,0.0189483657034581,NA,NA,-2.07477133455583,0.0280579002571869
"1911-1920",1911,1920,"spectrum_lcd_exponent","structural","climate",2111,-0.00165237922569794,-0.00197452901210328,0.00315837501249944,-0.00441219114403313,-0.0028532281065865,-0.0012137948272597,-0.000265850218560404,-0.0588917634802231,-2.07705683431957,-2.09545309031218,-2.05609146735208,2111,0.502605400284226,0.0909521553765988,0.0194220748460445,NA,NA,-2.07477133455583,0.0280579002571869
"1921-1930",1921,1930,"spectrum_lcd_exponent","structural","climate",2111,-0.00154004677386732,-0.00187208473387322,0.00374982449196729,-0.0048293961021848,-0.00288463563959618,-0.00101707062162459,0.000210765722880701,-0.0548881690985713,-2.0769072042547,-2.09549099330035,-2.05618015892525,2111,0.49928943628612,0.0904784462340123,0.0203694931312174,NA,NA,-2.07477133455583,0.0280579002571869
"1931-1940",1931,1940,"spectrum_lcd_exponent","structural","climate",2111,-0.00209858008050912,-0.00229463940468925,0.00609149270832104,-0.0057112249927439,-0.00366160047128283,-0.00153837208735785,-0.000225640751676304,-0.0747946233065525,-2.08546418098432,-2.10249794753524,-2.06334804390613,2111,0.504026527711985,0.0918995736617717,0.0208432022738039,NA,NA,-2.07477133455583,0.0280579002571869
"1941-1950",1941,1950,"spectrum_lcd_exponent","structural","climate",2111,-0.00198706888824951,-0.00200383495046713,0.008505859072126,-0.00611109448287239,-0.00366833781923104,-0.00134577679050896,0.000180715816819665,-0.0708202990970621,-2.09223346700858,-2.10858593793267,-2.06885938390761,2111,0.504500236854571,0.0900047370914259,0.0217906205589768,NA,NA,-2.07477133455583,0.0280579002571869
"1951-1960",1951,1960,"spectrum_lcd_exponent","structural","climate",2111,-0.00254427752030617,-0.00245306401973199,0.0103627394948646,-0.00698218800070949,-0.00447311704829012,-0.00184764541191695,-0.000251961047799565,-0.0906795411269048,-2.09768684077623,-2.11483050559991,-2.07318230636128,2111,0.50734249171009,0.0881099005210801,0.0208432022738039,NA,NA,-2.07477133455583,0.0280579002571869
"1961-1970",1961,1970,"spectrum_lcd_exponent","structural","climate",2111,-0.00242592991108781,-0.00236784059910916,0.0107030466772754,-0.00738326780242549,-0.00438290329969027,-0.00167055291778317,0.000147398254388698,-0.0864615630125929,-2.09961886627326,-2.11741840670712,-2.0747127173842,2111,0.505447655139744,0.0871624822359072,0.0208432022738039,NA,NA,-2.07477133455583,0.0280579002571869
"1971-1980",1971,1980,"spectrum_lcd_exponent","structural","climate",2111,-0.00297371915687972,-0.00290920801045571,0.0110505715446583,-0.00825596594059341,-0.00518609428943151,-0.00214732480476232,-0.000242274086347694,-0.105985092598582,-2.10232989113026,-2.12022731107477,-2.07896005742525,2111,0.505921364282331,0.0866887730933207,0.0222643297015632,NA,NA,-2.07477133455583,0.0280579002571869
"1981-1990",1981,1990,"spectrum_lcd_exponent","structural","climate",2111,-0.00305472425621245,-0.0029205065905478,0.0116872449047337,-0.00896402047293754,-0.00528887718638194,-0.00210254916174457,0.000340774570166014,-0.108872161787303,-2.10447278830857,-2.12264358437661,-2.08389478356123,2111,0.505921364282331,0.0871624822359072,0.0222643297015632,NA,NA,-2.07477133455583,0.0280579002571869
"1991-2000",1991,2000,"spectrum_lcd_exponent","structural","climate",2111,-0.00472151800636311,-0.0045235037590832,0.012822082788452,-0.0110131274704155,-0.00741864642623447,-0.00368991592015577,-0.00152110955020701,-0.168277667362287,-2.105318226501,-2.12340673958748,-2.08543943387473,2111,0.506395073424917,0.0923732828043581,0.0232117479867361,NA,NA,-2.07477133455583,0.0280579002571869
