"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"2001-2010",2001,2010,"baleen_biomass","biomass","climate",170,0.826984657124757,0.784802736788062,0.105793567855886,0.575366828318179,0.782468337912782,0.854798405419478,0.865430919447914,170,0.229411764705882,0,0,0.00588235294117647
"1841-1850",1841,1850,"seal_biomass","biomass","climate",170,1.00166747896988,1.00344637180878,0.00681796167657532,0.99380223793925,1.00040007815976,1.00567311008483,1.01881878521792,170,0,0,0,NA
"1851-1860",1851,1860,"seal_biomass","biomass","climate",170,0.998332521030123,0.996553628191219,0.00681796167657532,0.981181214782081,0.994326889915171,0.999599921840239,1.00619776206075,170,0,0,0,NA
"1861-1870",1861,1870,"seal_biomass","biomass","climate",170,0.995117501178357,0.990398792616137,0.0202417465818208,0.945406795166335,0.983531526060698,0.998940518579809,1.01990272129078,170,0,0,0,NA
"1871-1880",1871,1880,"seal_biomass","biomass","climate",170,0.992069685136241,0.98445439048214,0.0328097024937882,0.911334333982886,0.973157481143907,0.99819863639552,1.03246116902734,170,0,0,0,NA
"1881-1890",1881,1890,"seal_biomass","biomass","climate",170,0.989124279271039,0.979118608620935,0.0452763369951375,0.878965487673091,0.963133625750905,0.997783849312343,1.0460924231114,170,0,0,0,NA
"1891-1900",1891,1900,"seal_biomass","biomass","climate",170,0.985974508241203,0.97393437562483,0.056958543947256,0.848141054996605,0.955267343584068,0.997489958917468,1.05853386294742,170,0,0,0,NA
"1901-1910",1901,1910,"seal_biomass","biomass","climate",170,0.982903446016217,0.969301905171417,0.068614114956327,0.818876028355428,0.945575864599796,0.997516401059262,1.07223482146895,170,0,0,0,NA
"1911-1920",1911,1920,"seal_biomass","biomass","climate",170,0.980605465006003,0.964778738274688,0.0795356066294693,0.791011798130332,0.935840071639077,0.997277076595242,1.08509837253386,170,0.00588235294117647,0,0,NA
"1921-1930",1921,1930,"seal_biomass","biomass","climate",170,0.978189436256447,0.960761356445477,0.0904822816555055,0.764576480439737,0.926717804086071,0.996827775818497,1.09880842772821,170,0.0294117647058824,0,0,NA
"1931-1940",1931,1940,"seal_biomass","biomass","climate",170,0.976829547163339,0.956819624757379,0.100734941639514,0.739411338126856,0.918255316486555,0.996627375797753,1.11177408544975,170,0.0647058823529412,0,0,NA
"1941-1950",1941,1950,"seal_biomass","biomass","climate",170,0.974781011395681,0.953344914729638,0.111053247377512,0.715377107317337,0.910018357804649,0.996806324079367,1.12533968351482,170,0.0764705882352941,0,0,NA
"1951-1960",1951,1960,"seal_biomass","biomass","climate",170,0.97222085654962,0.949918129955883,0.120712902432385,0.694967532532523,0.90213714895742,0.99644496429264,1.13826775628937,170,0.0882352941176471,0,0,NA
"1961-1970",1961,1970,"seal_biomass","biomass","climate",170,0.970058990287373,0.946925107813005,0.130471971425965,0.675169559083861,0.894810222481323,0.996341552858144,1.15174406202634,170,0.1,0,0,NA
"1971-1980",1971,1980,"seal_biomass","biomass","climate",170,0.967408746470785,0.943957610231389,0.139605353733306,0.654753109977877,0.887764129681075,0.996010806414391,1.16460427159972,170,0.1,0,0,NA
"1981-1990",1981,1990,"seal_biomass","biomass","climate",170,0.964918176459516,0.94155077827972,0.149263046101327,0.635197804334314,0.879827789099905,0.996118774206122,1.17911754007081,170,0.1,0,0,NA
"1991-2000",1991,2000,"seal_biomass","biomass","climate",170,0.963154771168024,0.939638710283964,0.15837446128582,0.616890384777388,0.87287170619445,0.996593885639728,1.1934153998111,170,0.1,0,0,NA
"2001-2010",2001,2010,"seal_biomass","biomass","climate",170,0.960995107172389,0.937475996738501,0.167436372647408,0.599166148515309,0.867099185049852,0.996812126386,1.20662370427655,170,0.111764705882353,0,0,NA
"1841-1850",1841,1850,"fish_biomass","biomass","climate",170,0.997905861850577,0.9961748800768,0.00533105870886438,0.988246754506133,0.996105254181362,0.998826748788402,0.999361520929932,170,0,0,0,NA
"1851-1860",1851,1860,"fish_biomass","biomass","climate",170,1.00209413814942,1.0038251199232,0.00533105870886438,1.00063847907007,1.0011732512116,1.00389474581864,1.01175324549387,170,0,0,0,NA
"1861-1870",1861,1870,"fish_biomass","biomass","climate",170,1.00070398594565,1.0040459856361,0.010378255009638,0.995544659384896,0.997929287302213,1.00546820125883,1.02389053038822,170,0,0,0,NA
"1871-1880",1871,1880,"fish_biomass","biomass","climate",170,1.00701267819463,1.01496164414104,0.0219707680903005,1.00108600413163,1.00324536085697,1.01588670542114,1.05217493699627,170,0,0,0,NA
"1881-1890",1881,1890,"fish_biomass","biomass","climate",170,1.00475993959491,1.0148132821986,0.027026454973873,0.995570902787701,0.99992259444917,1.01739505111567,1.06387441073131,170,0,0,0,NA
"1891-1900",1891,1900,"fish_biomass","biomass","climate",170,1.0115296062051,1.02564374090245,0.038998828694913,1.00110301677459,1.00481602799405,1.02762900659457,1.093733666614,170,0,0,0,NA
"1901-1910",1901,1910,"fish_biomass","biomass","climate",170,1.00946763991644,1.0253652172655,0.0437234645237812,0.996305573534511,1.00174995589448,1.02916536464546,1.10470337430183,170,0,0,0,NA
"1911-1920",1911,1920,"fish_biomass","biomass","climate",170,1.01562975488639,1.03613527312401,0.0557747932409263,1.00139865871866,1.00667818947583,1.03931664693551,1.13531692006337,170,0,0,0,NA
"1921-1930",1921,1930,"fish_biomass","biomass","climate",170,1.01357663702555,1.03570493906491,0.0601874301112241,0.9966987964316,1.00340437378213,1.04038731900063,1.14546750917802,170,0,0,0,NA
"1931-1940",1931,1940,"fish_biomass","biomass","climate",170,1.01949932911511,1.04643300378781,0.072282244202454,1.00163419654737,1.00843935502945,1.0507635176359,1.17688179191107,170,0,0,0,NA
