"time","diff_median","diff_q25","diff_q75","diff_q05","diff_q95","n_pairs"
1972,-0.0103255426722584,-0.0163164665792608,-0.00559619565766517,-0.0214593050014853,-0.00186000143427004,212
1973,-0.0110036596034151,-0.0170499347762727,-0.00662863460134422,-0.022283734444186,-0.00272676863588317,212
1974,-0.0120411373173851,-0.0182315187298736,-0.00761527058356998,-0.0234145429365296,-0.00399503663970903,212
1975,-0.0125144016887884,-0.018521234278168,-0.00806444953106039,-0.0237850533475568,-0.0045816047993108,212
1976,-0.0128430308853423,-0.0187571850052164,-0.00841592925660883,-0.0239841982323599,-0.00490428676618132,212
1977,-0.013103404909004,-0.0190036546546217,-0.00858343148065144,-0.0241672380436282,-0.005101011394402,212
1978,-0.0136214909130998,-0.0194820714807502,-0.00902481122542975,-0.0246370080501415,-0.00548777303046613,212
1979,-0.0144734416573441,-0.0204480708567216,-0.00954546035814718,-0.0258551988395362,-0.00589888397051393,212
1980,-0.0147072809041437,-0.020606167049939,-0.00990094289463805,-0.025929737612137,-0.0059977434849044,212
1981,-0.0157443106159949,-0.0220649049431694,-0.0114115973331211,-0.0283083678458723,-0.0068709592537719,212
1982,-0.0158625327076387,-0.0218851808664219,-0.0114685448843627,-0.0283104484833189,-0.00695865946801422,212
1983,-0.0156571944720889,-0.0218745324421623,-0.0114167097325986,-0.0281359566709766,-0.00692617753826763,212
1984,-0.0155217851997591,-0.0218444653559486,-0.011122983850052,-0.027973432310179,-0.0069006997116754,212
1985,-0.0154930404268535,-0.0217310721403455,-0.0111685464923529,-0.0279510699762833,-0.00690652462608576,212
1986,-0.0153066503732734,-0.0215899352075254,-0.0105816402900098,-0.0276034244765349,-0.00688151278610549,212
1987,-0.0151045725951028,-0.0214957799537975,-0.0106122995453925,-0.0276002553467733,-0.00684748483846348,212
1988,-0.0149915083586489,-0.021338242676062,-0.0103709926765134,-0.0272717016447937,-0.00679801646340599,212
1989,-0.0147433423190713,-0.0211544948563004,-0.010276450729932,-0.027006476370111,-0.00671325327362045,212
1990,-0.0145810592559664,-0.0210012920163029,-0.0101558393146883,-0.0267686810819089,-0.00663998174654015,212
