"ensemble","time","slope_mean","slope_median","slope_sd","slope_min","slope_max","slope_q25","slope_q75","n_sims"
"Unexploited",1904,-1.05166094783869,-1.05092469409075,0.0142162181993942,-1.09745305103986,-1.01376975441295,-1.06085462180096,-1.04283047476744,212
"Unexploited",1905,-1.04955528013851,-1.04955332422742,0.0146013643560066,-1.09380167683096,-1.0101038170398,-1.05894456429054,-1.04093013108247,212
"Unexploited",1906,-1.05128924416686,-1.05076400620186,0.0143348985400852,-1.09490305725598,-1.01204927400531,-1.06028192805816,-1.04237200035748,212
"Unexploited",1907,-1.0485173670806,-1.04828195944366,0.0154079299171448,-1.09374632080706,-1.00639910235153,-1.05849442046853,-1.0400953079013,212
"Unexploited",1908,-1.05175066220881,-1.05100891870045,0.0144631963824858,-1.09781482616008,-1.01180355722708,-1.06102268497959,-1.04266899005756,212
"Unexploited",1909,-1.05025861004656,-1.04954058235309,0.0147642216348963,-1.09705630023725,-1.0100256226901,-1.05949365125643,-1.04159082713166,212
"Unexploited",1910,-1.0506910936275,-1.0501145475081,0.0144558183092335,-1.09695921490287,-1.01135210917765,-1.05993132698479,-1.04184424526581,212
"Unexploited",1911,-1.05163732441732,-1.05107517850526,0.0142953477429409,-1.09803853458631,-1.01301249247855,-1.06088171730946,-1.04273183755855,212
"Unexploited",1912,-1.05262420398629,-1.05162818737084,0.0141323396400721,-1.10127519168985,-1.0150728686708,-1.06179088802098,-1.04380695809471,212
"Unexploited",1913,-1.05169421890701,-1.0507094157186,0.0141367251968738,-1.09980208940954,-1.01419803258805,-1.06077489713573,-1.04265101934055,212
"Unexploited",1914,-1.05110512654039,-1.05070217668804,0.0141707716504144,-1.0956870916501,-1.01296962795289,-1.06028159387457,-1.04225691492814,212
"Unexploited",1915,-1.05180267232711,-1.0514435550274,0.0141342442700612,-1.09612694136042,-1.01361303927916,-1.06080884111655,-1.04297003003423,212
"Unexploited",1916,-1.05036668885234,-1.04974449630458,0.0144086295760176,-1.09530179419172,-1.01119767545214,-1.05982529975794,-1.04160067277623,212
"Unexploited",1917,-1.05068669537293,-1.05050812863394,0.0144811462894615,-1.09500282366277,-1.01102348342882,-1.06023652238811,-1.04191807239661,212
"Unexploited",1918,-1.0502048289462,-1.04981766091856,0.014616814368215,-1.09483079547424,-1.01018862743003,-1.05994653805831,-1.04129061697574,212
"Unexploited",1919,-1.04951956580107,-1.04879486765769,0.0150221357705536,-1.09457494434348,-1.00806372449168,-1.05935884464693,-1.04108748260924,212
"Unexploited",1920,-1.05297084476291,-1.05214937982592,0.0143748018173948,-1.10067092056005,-1.0136904604334,-1.06221384092468,-1.04403601778204,212
"Unexploited",1921,-1.04943134980852,-1.0491428844569,0.0151409139578635,-1.09509198812079,-1.00833168059781,-1.05901620471631,-1.04085609809161,212
"Unexploited",1922,-1.05336895772676,-1.05245376706614,0.014132604855243,-1.10254640770914,-1.01525649208895,-1.062333285832,-1.04476077111745,212
"Unexploited",1923,-1.05273300954631,-1.0518116633831,0.0141524325237653,-1.10246573019166,-1.01543173772897,-1.06181570366165,-1.04374357072233,212
"Unexploited",1924,-1.05174776816849,-1.05130802731553,0.0141192477021697,-1.09777092271087,-1.0139769210956,-1.06090878614661,-1.04305039076852,212
"Unexploited",1925,-1.04964734171035,-1.0496433957077,0.0144984334436358,-1.0943025516278,-1.01030348287571,-1.05939456619032,-1.04087289518116,212
"Unexploited",1926,-1.05137633585139,-1.05095279649909,0.0142367386891319,-1.09540252394974,-1.0122550767594,-1.06071018279308,-1.04263055992595,212
"Unexploited",1927,-1.0486133049597,-1.04834041605037,0.0153019923394528,-1.09424332063797,-1.00659483133595,-1.05852281628174,-1.04044773472787,212
"Unexploited",1928,-1.05183862920882,-1.05114603892303,0.0143680228015327,-1.0981279464429,-1.01201288015888,-1.06109952170278,-1.04303096902624,212
"Unexploited",1929,-1.05035002460955,-1.04977366286737,0.0146666772074076,-1.09736450274872,-1.01023135459891,-1.05961538949568,-1.04134778598818,212
"Unexploited",1930,-1.05078221774666,-1.05030145200429,0.0143594109626118,-1.09726877883665,-1.01156019496879,-1.06003114098375,-1.04211061733682,212
"Unexploited",1931,-1.05172684192348,-1.05122292607253,0.0141996988870268,-1.09834810004282,-1.01322359502793,-1.06093807954938,-1.0429348238953,212
"Unexploited",1932,-1.05271193744747,-1.05190457073666,0.0140396240097199,-1.10157900710852,-1.01528788023855,-1.06167080202937,-1.04424625543619,212
"Unexploited",1933,-1.05178442126818,-1.05112235022917,0.0140431812569937,-1.10010722479361,-1.01441188076707,-1.06076669872585,-1.04302236260861,212
"Unexploited",1934,-1.05119838813661,-1.05092608120859,0.0140746165860664,-1.09600109130044,-1.01318181097987,-1.06041534321076,-1.04237894393884,212
"Unexploited",1935,-1.0518952033549,-1.05140631265932,0.0140391855565626,-1.09644210197485,-1.0138274999978,-1.06089325549654,-1.04302796559443,212
"Unexploited",1936,-1.05046200943296,-1.04993498982841,0.0143132041296255,-1.09561490774788,-1.01140885552638,-1.05990183682298,-1.04144581630283,212
"Unexploited",1937,-1.0507840373989,-1.05046732475018,0.0143843273595351,-1.09548263184145,-1.01123577816594,-1.06034787674915,-1.04166608183509,212
"Unexploited",1938,-1.05030196019398,-1.04997625542885,0.0145203336996482,-1.09530791493275,-1.01039900878367,-1.0600280302576,-1.04122523055914,212
"Unexploited",1939,-1.04961913747707,-1.04905414296514,0.0149228232969157,-1.09504910485792,-1.00826990472287,-1.05942705298566,-1.04092882173045,212
"Unexploited",1940,-1.05306324849768,-1.0521576933755,0.0142840951194268,-1.10097089339491,-1.01390777699952,-1.06213343081449,-1.04443264261032,212
"Unexploited",1941,-1.04953296777729,-1.04941805152987,0.0150431610856162,-1.09556002416214,-1.00853764824402,-1.05904025582256,-1.0409258701879,212
"Unexploited",1942,-1.05346223749083,-1.05257243511491,0.0140447246320677,-1.1028422764825,-1.01547493519441,-1.06213835832316,-1.04519551448235,212
"Unexploited",1943,-1.05282737662818,-1.05198743489603,0.0140634309685462,-1.10276043932402,-1.01564967421216,-1.06189853057851,-1.04410927646136,212
"Unexploited",1944,-1.05184621520932,-1.05136060090163,0.0140282991614453,-1.09807543717416,-1.01419254430194,-1.0609443635703,-1.04324665537868,212
"Unexploited",1945,-1.04975075864736,-1.0496595274126,0.0144016013473021,-1.09476839183865,-1.01051195522258,-1.0593258999169,-1.04087144557745,212
"Unexploited",1946,-1.05147492803536,-1.05085132291935,0.0141446397435362,-1.09586711606012,-1.01246944512008,-1.06063005567358,-1.04284722546284,212
"Unexploited",1947,-1.04872034365635,-1.04839402741134,0.0152019722452969,-1.09470569792899,-1.00679957737459,-1.05853146619983,-1.04049248436691,212
"Unexploited",1948,-1.05193799112169,-1.05101439703385,0.0142787681854294,-1.0984278787784,-1.01223064940163,-1.0611402796731,-1.04346143109527,212
"Unexploited",1949,-1.05045266367988,-1.05012281090505,0.0145748768332843,-1.09765976855504,-1.01044570065663,-1.05964521409649,-1.04147617296098,212
"Unexploited",1950,-1.05088454076358,-1.05028192831873,0.0142689787389553,-1.09756540513684,-1.01177680384653,-1.06008272074563,-1.04239659389878,212
"Unexploited",1951,-1.05182758246191,-1.05109498619023,0.0141100077840957,-1.09864474835441,-1.01344309471965,-1.06095164820556,-1.04314550902938,212
"Unexploited",1952,-1.05281091807205,-1.05184991732897,0.0139528755041143,-1.10187010135552,-1.01551112983665,-1.06153781188697,-1.04466323417946,212
"Unexploited",1953,-1.05188572419925,-1.05112278013877,0.0139556024966985,-1.10039964745326,-1.01463403139725,-1.06091695325145,-1.04344592613688,212
"Unexploited",1954,-1.05130256081901,-1.05080369995861,0.0139845522207757,-1.09630213938454,-1.01340237670603,-1.06031326762797,-1.04256896525742,212
"Unexploited",1955,-1.05199861285162,-1.0514379595464,0.0139502200542559,-1.09674426257487,-1.01405025159403,-1.06085783506705,-1.04330050775061,212
"Unexploited",1956,-1.05056804608629,-1.05008580147481,0.0142237348222705,-1.09591509154289,-1.01162848829226,-1.0599678977689,-1.04168585123842,212
"Unexploited",1957,-1.05089196137689,-1.05038134057056,0.0142935528912946,-1.0959294185983,-1.01145647668803,-1.06010717737666,-1.04163404399612,212
"Unexploited",1958,-1.05040963324362,-1.04998252398724,0.0144298430052689,-1.09575222965003,-1.01061789064296,-1.06002659981764,-1.04118258191878,212
"Unexploited",1959,-1.0497291086166,-1.04931663926894,0.0148294712551921,-1.09549066391897,-1.00848477535898,-1.05940394310042,-1.04077895091521,212
"Unexploited",1960,-1.05316630753307,-1.05225074012857,0.0141992809376715,-1.10125841900802,-1.01413330125192,-1.06196015595079,-1.04481678297233,212
"Unexploited",1961,-1.04964483130719,-1.049356363849,0.0149511931318338,-1.09599599895713,-1.00875234185888,-1.05916097610995,-1.04070385904905,212
"Unexploited",1962,-1.05356608250177,-1.05284664905786,0.0139627469822633,-1.10312589465435,-1.01570156633474,-1.06196832436084,-1.04553555718308,212
"Unexploited",1963,-1.05293220656489,-1.05188626509654,0.0139803047167369,-1.1030429670169,-1.01587583311263,-1.06193610404555,-1.04454629023888,212
"Unexploited",1964,-1.05195490472536,-1.05124464505701,0.0139434000155409,-1.09836748854161,-1.01441650663987,-1.06096694363717,-1.04360460211694,212
"Unexploited",1965,-1.04986415082354,-1.04981833885737,0.0143108812631883,-1.09520212770015,-1.01072910638744,-1.05913874328453,-1.0406415644048,212
"Unexploited",1966,-1.05158363712776,-1.05083824671485,0.0140586259891999,-1.09629971483357,-1.01269224550542,-1.06051015511137,-1.04323396721291,212
"Unexploited",1967,-1.048837104199,-1.04855817858658,0.0151078919908691,-1.09513628604446,-1.00701320035202,-1.05854896431056,-1.04016734346866,212
"Unexploited",1968,-1.05204737030105,-1.05129934789193,0.0141954543474638,-1.09871535404542,-1.01245672533749,-1.06106214816758,-1.04392943787564,212
"Unexploited",1969,-1.05056514615569,-1.05028478641101,0.0144888624934396,-1.09794277704735,-1.01066851915612,-1.05970875797288,-1.04161136131573,212
"Unexploited",1970,-1.05099668305531,-1.05029138480179,0.0141845560193125,-1.09784973736702,-1.01200179330734,-1.0601541067689,-1.04282688786853,212
"Unexploited",1971,-1.05193816376577,-1.05116069296297,0.0140263123184384,-1.09892909208646,-1.01367084979018,-1.06086258855393,-1.04351474740644,212
"Unexploited",1972,-1.05291976043426,-1.05203884323654,0.0138721461514852,-1.10214905126996,-1.01574247701467,-1.06137130826778,-1.04500396597347,212
"Unexploited",1973,-1.05199674059131,-1.05112738381299,0.0138740532241414,-1.10067990626819,-1.01486434461759,-1.06076540551214,-1.0439018903368,212
"Unexploited",1974,-1.05141626012031,-1.05088722112809,0.0139006468119425,-1.0965907706308,-1.01363118617593,-1.06028724791353,-1.04292048594775,212
