"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95","climate_ratio_median","climate_ratio_mean","climate_ratio_q05","climate_ratio_q25","climate_ratio_q75","climate_ratio_q95"
0.12056011986217,1.00379220047674,1.01124297059947,0.998181155605269,1.00079382748834,1.01131417373509,1.05491099009641,1,1.25517014566219,0.422280143201187,0.709693555369736,1.52770264633952,3.06088898002375
0.172941410442158,1.00267988889764,1.00825721418891,0.995993173349636,1.00031530392349,1.00870473197996,1.04519821295269,1,1.39953951899802,0.428735025845292,0.712485040845318,1.75215127603617,3.71247397862804
0.248081467403285,1.00045586910017,1.00282902666096,0.98697273077534,0.999453924447706,1.00410586151159,1.02943798647558,1,1.5530187810708,0.416897363606317,0.669258163390412,2.03646429533536,4.5426775650384
0.355868581802455,0.998616827209675,0.993171056472931,0.957803765863657,0.993856712306026,1.00016928678885,1.0106104871158,1,1.83092159474586,0.415830034418106,0.631384315278243,2.40033291219167,6.09289683103151
0.510487336437021,0.996905309721209,0.987141639677113,0.924878665149532,0.987512561322742,0.999655448190085,1.00383471183044,1,1.0151625577813,0.414893540209079,0.81877710757483,1.15563386911568,1.45094934166942
0.732285270429473,0.989489052797549,0.971086901527944,0.865130195762706,0.971171989206781,0.996478940131226,0.99975154914612,1,1.06827582482842,0.394411674806516,0.795071874790788,1.23642495105366,1.68869546941187
1.05045057734576,0.97936489939006,0.951235661815332,0.776773260488259,0.945906462712733,0.992827226262043,0.999547438495788,1,1.21883034395002,0.456923678942952,0.776940797946708,1.36886135418588,2.10754745857994
1.50685321691489,0.988872142564728,0.937305458593805,0.622571599752646,0.945772863704715,0.997347308746418,1.00964805370031,1,1.40290557542072,0.151669434736464,0.660711432046631,1.32749845776496,1.8762252355595
2.16155492347296,0.985776234273661,0.939303385877125,0.576739702692722,0.937037001245301,0.996692757352337,1.03665728101381,1,1.42346091955062,0.134660988062877,0.607784289654127,1.46697636614315,2.09152364666227
3.10071321794452,0.980596677181006,0.945844090616539,0.561039440520205,0.922631451063763,0.995758683690454,1.08875797875712,1,1.46171898573812,0.109140905771626,0.513506856862739,1.74526288690489,2.57603149020308
4.44791957656499,0.970071888483511,0.970874780431736,0.520146175366638,0.894822941499274,0.993374034279815,1.19104382314593,1,1.63925410881173,0.0747845797874948,0.37496811429371,2.40499409395416,3.89807043228487
