"sim_index","valid_sim_index","rmse","rank"
70,70,1.82598275470756,607
105,105,1.82626538996116,608
594,594,1.82642057391953,609
102,102,1.82659330640563,610
1492,1492,1.82670698330928,611
906,906,1.82679709911687,612
848,848,1.82691331558414,613
240,240,1.82693531087598,614
288,288,1.82695309576526,615
485,485,1.82707676388865,616
821,821,1.82721694132526,617
307,307,1.82752206517036,618
682,682,1.82770381670939,619
148,148,1.82772938178286,620
732,732,1.82779810265503,621
1526,1526,1.82822654136489,622
1608,1608,1.82835909911527,623
367,367,1.82847296241646,624
260,260,1.82851441956898,625
1457,1457,1.82852281567939,626
572,572,1.8286700339503,627
494,494,1.82873763828786,628
1494,1494,1.82879209619568,629
404,404,1.82880657855909,630
166,166,1.82884759263374,631
416,416,1.82924154647117,632
498,498,1.82959545745394,633
172,172,1.8297053670991,634
707,707,1.8298903109371,635
656,656,1.83024745334342,636
988,988,1.83029815477162,637
1234,1234,1.83030616012699,638
637,637,1.830448166988,639
202,202,1.83047200561268,640
273,273,1.8308771031781,641
228,228,1.8311170356484,642
158,158,1.83123796921867,643
528,528,1.83139603522232,644
512,512,1.83147992199053,645
1528,1528,1.83172713088061,646
511,511,1.83177685292392,647
84,84,1.83177883074797,648
608,608,1.83201810000946,649
1605,1605,1.83213827761776,650
42,42,1.83232130153445,651
560,560,1.83237224098831,652
1725,1725,1.83244995377914,653
1463,1463,1.83261041597497,654
394,394,1.83300491425915,655
264,264,1.83309238555305,656
1622,1622,1.83337047159921,657
885,885,1.8334566083801,658
1177,1177,1.83351915691556,659
1001,1001,1.83379321161238,660
1467,1467,1.83397584069249,661
74,74,1.83400151602615,662
174,174,1.83409822690369,663
1157,1157,1.83413459384876,664
1705,1705,1.83437075499202,665
116,116,1.83501369434859,666
198,198,1.83543143117972,667
1059,1059,1.83565631643505,668
393,393,1.83603097741891,669
754,754,1.83611118951147,670
677,677,1.83624361631932,671
381,381,1.83663600412367,672
521,521,1.83704610585797,673
841,841,1.83719735411857,674
678,678,1.83723664847866,675
644,644,1.83725358836003,676
939,939,1.83753946498908,677
407,407,1.83759257713223,678
1814,1814,1.83772582156117,679
403,403,1.83773960993691,680
254,254,1.83787356487336,681
401,401,1.83788765120889,682
