"sim_index","valid_sim_index","rmse","rank"
111,111,1.8032729072867,464
789,789,1.80327408915666,465
1561,1561,1.80349038558259,466
1577,1577,1.80365764021018,467
611,611,1.80367485893836,468
751,751,1.80381931717798,469
457,457,1.80416124451226,470
1665,1665,1.8041713545604,471
153,153,1.80454433107709,472
693,693,1.80499613431718,473
363,363,1.80504646194783,474
2046,2046,1.80510868468012,475
317,317,1.8052426042667,476
1017,1017,1.80548882446545,477
63,63,1.8061576028557,478
1446,1446,1.80645641690883,479
442,442,1.8065819627065,480
344,344,1.80724962059012,481
1391,1391,1.80724962059012,482
2038,2038,1.80761690486588,483
1134,1134,1.8077891655751,484
871,871,1.80789952318031,485
1961,1961,1.80821978733378,486
2023,2023,1.80821978733378,487
471,471,1.80833920731824,488
801,801,1.80848451081075,489
698,698,1.80879493062211,490
322,322,1.8089572126516,491
1363,1363,1.8089572126516,492
14,14,1.80903416503299,493
482,482,1.80932249420415,494
641,641,1.80932401971666,495
314,314,1.80938108267251,496
503,503,1.80953694503111,497
385,385,1.80975452172395,498
98,98,1.8097652579101,499
897,897,1.81003409470191,500
1783,1783,1.81006005944798,501
1685,1685,1.81116625926814,502
1697,1697,1.81118062114195,503
1060,1060,1.81134320650262,504
377,377,1.81156365267188,505
1427,1427,1.81156365267188,506
1148,1148,1.81166907080061,507
935,935,1.81178321741948,508
657,657,1.8117890273817,509
1459,1459,1.81199458266373,510
1335,1335,1.81206561666615,511
514,514,1.81211482580143,512
1843,1843,1.81212978049774,513
1599,1599,1.81213095721928,514
262,262,1.81216827757024,515
1827,1827,1.81229380758552,516
299,299,1.81251227047756,517
1337,1337,1.81310141338255,518
659,659,1.81312526751284,519
301,301,1.81328743001213,520
1413,1413,1.81342196946398,521
65,65,1.8134354999874,522
625,625,1.81366675177948,523
1336,1336,1.81405545391998,524
39,39,1.81413207597932,525
1786,1786,1.81442879890848,526
733,733,1.81453115415224,527
1875,1875,1.81454001164984,528
222,222,1.81459379377325,529
768,768,1.81484402531474,530
354,354,1.81519623562721,531
1978,1978,1.81524832363233,532
2044,2044,1.81524832363233,533
97,97,1.81541632194619,534
304,304,1.81551792980023,535
175,175,1.81566574877006,536
1401,1401,1.81587746163778,537
395,395,1.81606375328091,538
502,502,1.81609948207669,539
184,184,1.81625494366774,540
944,944,1.81640494920116,541
1339,1339,1.8164412197879,542
1591,1591,1.81663404792285,543
1450,1450,1.81680800176222,544
400,400,1.81699824433856,545
23,23,1.81701513963002,546
422,422,1.81756625742004,547
1797,1797,1.81771830955967,548
160,160,1.81777706381219,549
1471,1471,1.81781535124695,550
334,334,1.81801553073916,551
699,699,1.81854886410057,552
375,375,1.81855081223238,553
748,748,1.81860936724898,554
908,908,1.81901224372178,555
533,533,1.81920264394576,556
890,890,1.81921783791372,557
255,255,1.81924003140414,558
1520,1520,1.8193691306601,559
1330,1330,1.81947746660764,560
927,927,1.81948351385316,561
13,13,1.81953463672477,562
2052,2052,1.81966828583042,563
1981,1981,1.82026431691564,564
2051,2051,1.82026431691564,565
546,546,1.82035664696559,566
11,11,1.82043811917516,567
859,859,1.82046971318387,568
993,993,1.82052652933858,569
268,268,1.82087350879706,570
439,439,1.82089195081759,571
138,138,1.82090110111858,572
192,192,1.82098145295548,573
862,862,1.82104923535735,574
82,82,1.82129366695247,575
53,53,1.82135867759389,576
549,549,1.82149961980115,577
1412,1412,1.82157838194098,578
1398,1398,1.82188544647357,579
217,217,1.82216510220195,580
280,280,1.82243563969492,581
1782,1782,1.82244347122926,582
431,431,1.82258452639292,583
1493,1493,1.82258452639292,584
220,220,1.82273604752775,585
421,421,1.8231078193088,586
669,669,1.82327809616508,587
496,496,1.82336035274753,588
383,383,1.82391593230259,589
1435,1435,1.82391593230259,590
860,860,1.8240554065963,591
1343,1343,1.82406397549382,592
124,124,1.82408240743197,593
543,543,1.82410751771831,594
1969,1969,1.82416335255424,595
2034,2034,1.82416335255424,596
353,353,1.82417654166619,597
1587,1587,1.82418006769376,598
569,569,1.82419886762556,599
602,602,1.82439429176148,600
493,493,1.82448577376504,601
459,459,1.82458875075903,602
1482,1482,1.82512002850179,603
252,252,1.8252690498997,604
8,8,1.82531719477079,605
1411,1411,1.82593447483037,606
