"sim_index","valid_sim_index","rmse","cor_raw","cor_log","rank","pass_corr"
477,477,1.74366975308232,0.935927601517385,0.909947698386429,198,TRUE
592,592,1.74374855388775,0.230594064531782,0.915603459286184,199,TRUE
339,339,1.74382833283154,0.975194891196735,0.910069151828364,200,TRUE
518,518,1.74383204445615,0.0486376082161476,0.913836494959693,201,TRUE
271,271,1.74624103547814,0.810449900612888,0.909867468816048,202,TRUE
563,563,1.74626634980526,0.689656377091279,0.909941261827458,203,TRUE
88,88,1.74637384962899,0.0355553917424592,0.91742075007243,204,TRUE
1018,1018,1.74662814746105,0.963832121777494,0.909499932917844,205,TRUE
204,204,1.74680749987837,0.163624961809069,0.909711415897314,206,TRUE
1364,1364,1.74709283129666,0.786332515457002,0.910558240580011,207,TRUE
753,753,1.74718729923944,0.287578780845985,0.909673133203674,208,TRUE
66,66,1.7478017273219,0.0396581867015472,0.911224062297746,209,TRUE
