"Year","Species","min_biomass_t","median_biomass_t","max_biomass_t","q05_biomass_t","q95_biomass_t","ObsBiomass_t"
1886,"salps",109445.752902042,1068112.6622537,2909725.68214772,420513.843009284,2073806.80455987,961270.3
1886,"shelf and coastal fishes",1260856.43241072,4882156.31488653,7575878.11896022,2606456.99328052,6269952.02865796,4027900
1886,"small divers",11080.8680938001,37842.0271347993,48176.1868748538,22197.5715064095,42751.2894452033,23589.46
1886,"sperm whales",10920.9660629403,24485.3396683606,13600617.0904127,14624.206578734,2723509.98983645,16217.75
1886,"squids",41170.8755079004,141208.142165887,431610.318898709,90476.2226692867,299677.940332943,221151.2
1886,"toothfishes",2280.4554362841,1027610.04961821,2770391.57627884,155314.553809428,1829991.61717786,1105756
1887,"antarctic krill",153698.437690782,12998972.8290387,57683335.0766702,1723792.7610406,36119450.6216994,5897364
1887,"baleen whales",108362.335195248,868456.57359582,110328513.576083,177396.744089105,18831534.7238141,187241.3
1887,"bathypelagic fishes",326700.877736324,2410378.01930812,7734314.18754025,1002395.08827793,4544183.56289798,1769209
1887,"flying birds",3954.99986071128,6019.91410882591,6611.46083535167,5426.4746830191,6295.29352837336,4423.023
1887,"large divers",2275.3094407409,18594.7673586065,3499180.99913054,5752.7394444621,265959.581002978,16217.75
1887,"leopard seals",548.031645488154,3306.29787074132,33180.5454903301,1909.17184670676,4656.80417227966,2948.682
1887,"medium divers",64885.6224236945,416745.561899507,1623974.89853315,157470.617383263,851190.48531295,390700.4
1887,"mesopelagic fishes",21959.5908764641,1783778.28829871,4694215.71956734,512199.384049107,3609116.92181665,1769209
1887,"mesozooplankton",3637698.07497543,16173514.3917069,27773079.2966841,6674616.26964406,23748951.2829391,12974200
1887,"minke whales",2099.58368819211,26864.8919450655,203526139.316073,7331.72898478543,20586440.6758969,20640.77
1887,"orca",4637.61535002647,8952.99648895223,318031.995336645,6925.16136678642,18916.9051166899,8846.046
1887,"other krill",173268.131718134,10866179.0662731,126558042.614554,1320058.98451299,76733746.6319384,2801248
1887,"other macrozooplankton",1391949.25950238,17958855.1463199,37579462.7898381,7390502.43072155,27033359.7009226,14743410
1887,"salps",105520.320551771,1050849.72713706,2906916.11468911,406414.336752527,2069873.56272639,961270.3
