"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1857,"orca",2111,0,0,0,0,0,0,0,NA
1857,"sperm whales",2111,0,0,0,0,0,0,0,NA
1857,"baleen whales",2111,0,0,0,0,0,0,0,NA
1858,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1858,"other krill",2111,0,0,0,0,0,0,0,NA
1858,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1858,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1858,"salps",2111,0,0,0,0,0,0,0,NA
1858,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1858,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1858,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1858,"flying birds",2111,0,0,0,0,0,0,0,NA
1858,"small divers",2111,0,0,0,0,0,0,0,NA
1858,"squids",2111,0,0,0,0,0,0,0,NA
1858,"toothfishes",2111,0,0,0,0,0,0,0,NA
1858,"leopard seals",2111,0,0,0,0,0,0,0,NA
1858,"medium divers",2111,0,0,0,0,0,0,0,NA
1858,"large divers",2111,0,0,0,0,0,0,0,NA
1858,"minke whales",2111,0,0,0,0,0,0,0,NA
1858,"orca",2111,0,0,0,0,0,0,0,NA
1858,"sperm whales",2111,0,0,0,0,0,0,0,NA
1858,"baleen whales",2111,0,0,0,0,0,0,0,NA
1859,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1859,"other krill",2111,0,0,0,0,0,0,0,NA
1859,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1859,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1859,"salps",2111,0,0,0,0,0,0,0,NA
1859,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1859,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1859,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1859,"flying birds",2111,0,0,0,0,0,0,0,NA
1859,"small divers",2111,0,0,0,0,0,0,0,NA
1859,"squids",2111,0,0,0,0,0,0,0,NA
1859,"toothfishes",2111,0,0,0,0,0,0,0,NA
1859,"leopard seals",2111,0,0,0,0,0,0,0,NA
1859,"medium divers",2111,0,0,0,0,0,0,0,NA
1859,"large divers",2111,0,0,0,0,0,0,0,NA
1859,"minke whales",2111,0,0,0,0,0,0,0,NA
1859,"orca",2111,0,0,0,0,0,0,0,NA
1859,"sperm whales",2111,0,0,0,0,0,0,0,NA
1859,"baleen whales",2111,0,0,0,0,0,0,0,NA
1860,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1860,"other krill",2111,0,0,0,0,0,0,0,NA
1860,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1860,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1860,"salps",2111,0,0,0,0,0,0,0,NA
1860,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1860,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1860,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1860,"flying birds",2111,0,0,0,0,0,0,0,NA
1860,"small divers",2111,0,0,0,0,0,0,0,NA
1860,"squids",2111,0,0,0,0,0,0,0,NA
1860,"toothfishes",2111,0,0,0,0,0,0,0,NA
1860,"leopard seals",2111,0,0,0,0,0,0,0,NA
1860,"medium divers",2111,0,0,0,0,0,0,0,NA
1860,"large divers",2111,0,0,0,0,0,0,0,NA
1860,"minke whales",2111,0,0,0,0,0,0,0,NA
1860,"orca",2111,0,0,0,0,0,0,0,NA
1860,"sperm whales",2111,0,0,0,0,0,0,0,NA
